CAP;Cell;Citta;Email;IBAN;Indirizzo;NoteCliente;PartitaIVA;PersonaRiferimento;Proprietario;ProssimaVisita;ProssimoRecall;RagioneSociale;SDI;TMK;Telefono;UltimaVisita;UltimoRecall;﻿ClienteID;RowID
;;;;;;;;;fabio;;;STATISTICHE;;;;;;1;1
;;;;;;Scrivi qui le tue note...;;;fabio;;;Cliente;;;;;;2;2
;;Via;;;;;;;fabio;;;CAP_Lista;;;;;;3;3
;;;;;;;;;fabio;;;NuovoContratto;;;;;;4;4
20122;;Milano;amministrazione@1a1group.com;;Via C. del Fante. 4;chiede di avere fattura proforma via mail;3750730966;andrea strigelli;fabio;;;1 A 1 S.r.l.;;;34844005;;;5;5
20059;;CASARILE;2esseassicurazioni@gmail.com - scotti@2esse.info;;VIA CRISTOFORO COLOMBO 9;11/2018 contente della nuova macchina---14/5/19 tutto ok---23/7/19 preso app---21/11/19 tutto ok---31/1/20 tutto ok--16/7/20 tutto ok---20/10/20 tutto ok-4/2 chiamte x cons e inst.29/7 saluti--25/10/21 saluti---11/4/22 saluti e auguri---28/7/22 saluti ---20/12/22 auguri  5/12/23 app piu auguri---15/7/24 in visita---16/12/24 B.N.28/7/25 B.V.;;STEFANIA(tu);fabio;;;2 ESSE;;;02/55014601;22/11/2024;28/07/2025;6;6
20874;;Busnago;gianlucastia@gmail.com;;4/B Via Piave;11/2018 tutto ok-- vedi stia;;SIG.STUCCHI;fabio;;;A.C. DILETTANTISTICO BUSNAGO(stia);;;039/6926753;;;7;7
;;RIVALTA DI TORINO;acla.spa@libero.it;;VIA BRUINO 22;12/9 : problemi con la loro Xerox..riferisce sig.ra Nadia. Ok ripianificato tra sei mesi..17/04 in questo momento sono molto presi richiamare dopo le feste pasquali 05/09 la sig.a nadia doveva sentire il titolare ha detto di richiamare fine sett. Pross. 16/09 app. 17/09/2019 ore 10 x visita di cortesia  31/10  Acla ha venduto alla nuova societa solo un ramo d'azienda che siprende solo il contratto Xerox, mi manderanno tutti i nuovi dati per cambiare intestazione della finanziaria e risentire tra un mese per prendere app. per una visita di cortesia  13/11 ore 17,14 n.r.29/11    provato a chiamare tantissime volte alla sig.a alessandra che  fa parte dell nuova azienda che si e unita alla Acla spa....ci doveva mandare anche i dati della nuova azienda ma non risponde mai al cell. -----10/12 finalmente sono riuscita dopo tanti tentativi di parlare con alessandra mi ha detto di richiamare a gennaio per un appuntamento  perche si stanno ancora trasferendo e devono ancora valutare x stampanti computer.....04/02/20 preso app. per il 12/02/20 ore 10 -- hanno preso una azienda (Alessandra)che trattano stampanti e pertanto non si sa come va a finire 12/05/21 vogliono disdire il contratto---- DA QUI NOTE GIULIA- 11/5/22 CHIAMO MA NON CI CONOSCONO E NON HANNO LE NOSTRE MACCHINE. INDAGHIAMO--MI COMUNICA CHE LA SOCETA' CON CUI PARLO e LA C.D.S. SRL----23/06/22 siamo risaliti all'ultimo contatto di maurizio :la Sig.ra Carla. parlo con lei mi conferma che utilizzano solo la  c869 mentre tengono ferma la 5690- mi comunica che i riferimenti sono il Sig. Valle E la Sig.ra Cristina.hanno insoluti e verifichiamo stabilita aziendale e sono in gravi condizioni economiche. comunque segno di tentare visita per meta luglio---8/11/22 fabio mi comunica che e stata fatta un'azione legale per gli insoluti---4/5/23 parlo con carla che mi passa nadia. dice che oggi voleva chiamare fabio. io cercavo app. vediamo--5/5/23 la signora nadia chiama fabio... dice che chiudono. fabio e indispettito perche poco tempo fa ha chiesto toner malgrado non pagassero.;;sig.carla(impiegata) sig. valle sig.ra cristina (titolari);fabio;;;A.C.L.A. - AZIENDA.CARBURANTI LUBRIFICANTI ED AFFINI - S.P.A.;;;011/9003200;;05/05/2023;8;8
20073;;OPERA;info@lampiflex.it;;VIA LAMBRO 51;30/5/24 tento app   20/6/24 ritento app---16/12 N.R.28/7/25 OCC;2115310159;SIG.RA STEFANIA;fabio;;;ABRASIVI LAMPIFLEX SRL;SUBM70N;;257609471;26/05/2025;28/07/2025;9;9
;;;;;;Scrivi qui le tue note...;;;fabio;;;ACTA SNC DI BELLINO LUCA MARIA;;;;;;10;10
