ClienteID;RagioneSociale;NumeroContratto;DataInizio;DataFine;Durata;DescrizioneProdotto;NOL_FIN;NOL_INT;TotRata;CopieBN;EccBN;CopieCol;EccCol;Stato
9;ABRASIVI LAMPIFLEX SRL;;07/10/2024;01/10/2029;60;"N.2 DELL PC + N.2 MONITOR 21,5"" + N.2 OFFICE";IFIS 50;;50;;;;;aperto
11;AD AUTOMOBILI;;01/01/2024;;;CREAZIONE DOMINIO + MAIL ( VENDITE@ADAUTOMOBILI.COM);;60 ANNO;60ANNO;;;;;aperto
12;AD PRODUZIONE SRL;A1C07477;23/06/2020;01/07/2025;60;HP ZBOOK 17 G6 MOBILE WORKSTATION - 26/03/2025 ok fabio rimane al cliente;BNP 50;*;50;;;;;aperto
12;AD PRODUZIONE SRL;;26/07/2021;01/10/2026;60;CENTRALINO YESTAR S20 + N.2 SCHEDE FXS + N.2 SCHEDE FXO + N.2 TELEFONI T46U + N.8 TELEFONI T40P + ALIMENTATORI + BOX GSM (LINEE SMARTEL);BNP 70;;70;*;*;*;*;aperto
12;AD PRODUZIONE SRL;;01/06/2022;;12 RINNOVO ANNUALE;UPGRADE 50GB CASELLA MAIL commerciale@adproduzione.it;*;80 ANNO;80ANNO;*;*;*;*;aperto
12;AD PRODUZIONE SRL;;27/10/2023;01/01/2029;60;HP SERVER PROLIANT ML350 G10  (N.3 HD 1.9TB SAS +N.3 RAM 16GB + DOPPIO ALIMENTATORE + ESTENSIONE HP 5 ANNI ON SITE) + BACK UP 2TB+NAS ---- PROVENIENTE VECCHIO CONTRATTO NON IN DDT : PHASER 6600 USATA + EPSON C579 USATA + ENTERPRICE C20750;BNP 430;;430;6000;0.01084;500;0.10832;aperto
12;AD PRODUZIONE SRL;A1F37596;24/07/2024;01/10/2029;60;N.5 HP PC 400 G9 (I5 -512 - 8 -WIFI) +N.4 WORKSTATION Z1 G9 (I9 - 1TB - 32GB - SCHEDA GRAFICA 12GB) + ESTENSIONE GARANZIA;BNP 225;;225;;;;;aperto
12;AD PRODUZIONE SRL;A1F89316;23/04/2025;01/07/2030;60;HP ZBOOK POWER 16 G11;BNP 55;;55;;;;;aperto
12;AD PRODUZIONE SRL;;01/06/2025;;RINNOVO AUTOMATICO;CREAZIONE E GESTIONE CASELLA PEC deluca_alfredo@pec.it;;60 ANNO;60ANNO;;;;;aperto
12;AD PRODUZIONE SRL;;;;;CISCO MERAKI + LICENZA;*;;;;;*;*;aperto
12;AD PRODUZIONE SRL;;;;;N.20 LICENZA ANTIVIRUS PANDA;*;;;;;*;*;aperto
12;AD PRODUZIONE SRL;;;;;N.6 SSD 512GB;*;;;;;*;*;aperto
12;AD PRODUZIONE SRL;;;;;WEBCAM + MICROFONO;;;;;;;;aperto
21;ALGAM;A1E55035;21/07/2023;01/10/2028;60;CENTRALINO YEASTAR S20 + 10 TEL. 1 TEL.POST OPERATORE;BNP 60;*;60;;;;;aperto
21;ALGAM;A1E53862;26/07/2023;01/10/2028;60;"HP SERVER PROLIANT ML 350 G10 (RAM 64GB - N.2 HARD DISK 2TB + 2 HARD DISK 300 GB + N.4 HARD DISK 1,2 TB + DOPPIO ALIMENTATORE + N.2 WINDOWS SEWRVER STANDAR 2022 + 15 CALL + VMWARE VSPHERE 5Y + ESTENSIONE 60 MESI ) + GRUPPO CONTINUITA 2200 W + VEEAM BACK UP + NAS + 2 DISCHI 3 TB + BACK UP IN CLOUD 1TB + SWITCH 48 PORTE + FIREWALL UBIQUITY + N.9 HP PRO MINI 400 G9  ( DI CUI 5 SSD 512GB) + N.9 MONITOR 27"" + N.9 OFFICE 365 PRIMO ANNO INCLUSO";BNP 620;*;620;;;;;aperto
21;ALGAM;A1E53862;26/07/2023;01/10/2028;60;"HP SERVER PROLIANT ML 350 G10 (RAM 64GB - N.2 HARD DISK 2TB + 2 HARD DISK 300 GB + N.4 HARD DISK 1,2 TB + DOPPIO ALIMENTATORE + N.2 WINDOWS SEWRVER STANDAR 2022 + 15 CALL + VMWARE VSPHERE 5Y + ESTENSIONE 60 MESI ) + GRUPPO CONTINUITA 2200 W + VEEAM BACK UP + NAS + 2 DISCHI 3 TB + BACK UP IN CLOUD 1TB + SWITCH 48 PORTE + FIREWALL UBIQUITY + N.9 HP PRO MINI 400 G9  ( DI CUI 5 SSD 512GB) + N.9 MONITOR 27"" + N.9 OFFICE 365 PRIMO ANNO INCLUSO";BNP 620;*;620;;;;;aperto
21;ALGAM;;;;;armadio rack;;;;;;;;aperto
21;ALGAM;;01/09/2024;;12 rinnovo annuale - prio anno gratuito;N.2 MICRISOFT 365 BUSINESS BASIC + N.8 MICROSOFT BUSINESS STANDARD Fabio 07/11/2023;;1080;1080;;;;;aperto
21;ALGAM;;01/12/2023;30/11/2028;60 RINNOVO AUTOMATICO;BACK UP INCLOUD 4TB;;50;50;;;;;aperto
