CopieBN;CopieCol;DataFine;DataInizio;DescrizioneProdotto;Durata;EccBN;EccCol;NOL_FIN;NOL_INT;NumeroContratto;Proprietario;RagioneSociale;Stato;TotRata;﻿ClienteID;RowID
;;01/10/2029;07/10/2024;"N.2 DELL PC + N.2 MONITOR 21,5"" + N.2 OFFICE";60;;;IFIS 50;;;fabio;ABRASIVI LAMPIFLEX SRL;aperto;50.00 €;9;1
;;;01/01/2024;CREAZIONE DOMINIO + MAIL ( VENDITE@ADAUTOMOBILI.COM);;;;;60 ANNO;;fabio;AD AUTOMOBILI;aperto;0.00 €;11;2
;;01/07/2025;23/06/2020;HP ZBOOK 17 G6 MOBILE WORKSTATION - 26/03/2025 ok fabio rimane al cliente;60;;;BNP 50;*;A1C07477;fabio;AD PRODUZIONE SRL;aperto;50.00 €;12;3
*;*;01/10/2026;26/07/2021;CENTRALINO YESTAR S20 + N.2 SCHEDE FXS + N.2 SCHEDE FXO + N.2 TELEFONI T46U + N.8 TELEFONI T40P + ALIMENTATORI + BOX GSM (LINEE SMARTEL);60;*;*;BNP 70;;;fabio;AD PRODUZIONE SRL;aperto;70.00 €;12;4
*;*;;01/06/2022;UPGRADE 50GB CASELLA MAIL commerciale@adproduzione.it;12 RINNOVO ANNUALE;*;*;*;80 ANNO;;fabio;AD PRODUZIONE SRL;aperto;0.00 €;12;5
6000;500;01/01/2029;27/10/2023;HP SERVER PROLIANT ML350 G10  (N.3 HD 1.9TB SAS +N.3 RAM 16GB + DOPPIO ALIMENTATORE + ESTENSIONE HP 5 ANNI ON SITE) + BACK UP 2TB+NAS ---- PROVENIENTE VECCHIO CONTRATTO NON IN DDT : PHASER 6600 USATA + EPSON C579 USATA + ENTERPRICE C20750;60;0.01084;0.10832;BNP 430;;;fabio;AD PRODUZIONE SRL;aperto;430.00 €;12;6
;;01/10/2029;24/07/2024;N.5 HP PC 400 G9 (I5 -512 - 8 -WIFI) +N.4 WORKSTATION Z1 G9 (I9 - 1TB - 32GB - SCHEDA GRAFICA 12GB) + ESTENSIONE GARANZIA;60;;;BNP 225;;A1F37596;fabio;AD PRODUZIONE SRL;aperto;225.00 €;12;7
;;01/07/2030;23/04/2025;HP ZBOOK POWER 16 G11;60;;;BNP 55;;A1F89316;fabio;AD PRODUZIONE SRL;aperto;55.00 €;12;8
;;;01/06/2025;CREAZIONE E GESTIONE CASELLA PEC deluca_alfredo@pec.it;RINNOVO AUTOMATICO;;;;60 ANNO;;fabio;AD PRODUZIONE SRL;aperto;0.00 €;12;9
;*;;;CISCO MERAKI + LICENZA;;;*;*;;;fabio;AD PRODUZIONE SRL;aperto;0.00 €;12;10
;*;;;N.20 LICENZA ANTIVIRUS PANDA;;;*;*;;;fabio;AD PRODUZIONE SRL;aperto;0.00 €;12;11
;*;;;N.6 SSD 512GB;;;*;*;;;fabio;AD PRODUZIONE SRL;aperto;0.00 €;12;12
;;;;WEBCAM + MICROFONO;;;;;;;fabio;AD PRODUZIONE SRL;aperto;0.00 €;12;13
;;01/10/2028;21/07/2023;CENTRALINO YEASTAR S20 + 10 TEL. 1 TEL.POST OPERATORE;60;;;BNP 60;*;A1E55035;fabio;ALGAM;aperto;60.00 €;21;14
;;01/10/2028;26/07/2023;"HP SERVER PROLIANT ML 350 G10 (RAM 64GB - N.2 HARD DISK 2TB + 2 HARD DISK 300 GB + N.4 HARD DISK 1,2 TB + DOPPIO ALIMENTATORE + N.2 WINDOWS SEWRVER STANDAR 2022 + 15 CALL + VMWARE VSPHERE 5Y + ESTENSIONE 60 MESI ) + GRUPPO CONTINUITA 2200 W + VEEAM BACK UP + NAS + 2 DISCHI 3 TB + BACK UP IN CLOUD 1TB + SWITCH 48 PORTE + FIREWALL UBIQUITY + N.9 HP PRO MINI 400 G9  ( DI CUI 5 SSD 512GB) + N.9 MONITOR 27"" + N.9 OFFICE 365 PRIMO ANNO INCLUSO";60;;;BNP 620;*;A1E53862;fabio;ALGAM;aperto;620.00 €;21;15
;;01/10/2028;26/07/2023;"HP SERVER PROLIANT ML 350 G10 (RAM 64GB - N.2 HARD DISK 2TB + 2 HARD DISK 300 GB + N.4 HARD DISK 1,2 TB + DOPPIO ALIMENTATORE + N.2 WINDOWS SEWRVER STANDAR 2022 + 15 CALL + VMWARE VSPHERE 5Y + ESTENSIONE 60 MESI ) + GRUPPO CONTINUITA 2200 W + VEEAM BACK UP + NAS + 2 DISCHI 3 TB + BACK UP IN CLOUD 1TB + SWITCH 48 PORTE + FIREWALL UBIQUITY + N.9 HP PRO MINI 400 G9  ( DI CUI 5 SSD 512GB) + N.9 MONITOR 27"" + N.9 OFFICE 365 PRIMO ANNO INCLUSO";60;;;BNP 620;*;A1E53862;fabio;ALGAM;aperto;620.00 €;21;16
;;;;armadio rack;;;;;;;fabio;ALGAM;aperto;0.00 €;21;17
;;;01/09/2024;N.2 MICRISOFT 365 BUSINESS BASIC + N.8 MICROSOFT BUSINESS STANDARD Fabio 07/11/2023;12 rinnovo annuale - prio anno gratuito;;;;1080;;fabio;ALGAM;aperto;1080.00 €;21;18
;;30/11/2028;01/12/2023;BACK UP INCLOUD 4TB;60 RINNOVO AUTOMATICO;;;;50;;fabio;ALGAM;aperto;50.00 €;21;19
;;;;LINEA SMARTELL;;;;;;;fabio;ALGAM;aperto;0.00 €;21;20
;;;;armadio rack;;;;;;;fabio;ALGAM;aperto;0.00 €;21;21
;;;01/06/2016;10 gb aggiuntivi di spazio web;12 rinnovo autoatico;;;;15 MESE;;fabio;ALPHASAR;aperto;15.00 €;23;22
;;;01/12/2016;CREAZIONE 3 CASELLE MAIL;12 RINNOVO AUTOMATICO;;;;150 ANNUO;;fabio;ALPHASAR;aperto;150.00 €;23;23
;;;01/06/2012;CANONE PER HOSTING DOMINIO;12 RINNOVO AUTOMATICO;;;;100 ANNUO;;fabio;ALPHASAR;aperto;100.00 €;23;24
*;*;01/05/2027;01/05/2022;HP SERVER ML350 G10 ( +3 HARD DISK 1.2TB + SECONDO ALIMENTATORE + WINDOWS SERVER STANDARD 2019 + N.15 CALL) + NAS SYNOLOGY DS1621+COMPLETO DI 6HARD DISK 2TB + GRUPPO CONTINUITA' 1500 VA _ SEDE VIA STURZO _ ML 350 G9 USATO VECCHIO CONTRATTO + NAS SINOLOGY DS220+ GRUPPO CONTINUITA' 650 DA _ VIA LEONCAVALLO_  + RIFARCIMENTO GRAFICO E RIPOSIZIONAMENTO SITO + ASSISTENZA SISTEMISTICA SERVER + NAS + GESTIONE BACK UP X TUTTA LA DURATA DEL NOLEGGIO;60;*;*;IFIS 550;;;fabio;ALPHASAR;aperto;550.00 €;23;25
